tile_id,zone,row,col,tile_area_m2,street_len_m,bldg_area_m2,bldg_count,street_km_per_km2,bldg_coverage
center_01_16,center,16,1,250000.0,2741.6836338214184,15304.85006950432,19,10.966734535285674,0.06121940027801728
center_01_17,center,17,1,113923.61694620922,804.0429348170283,7467.657827438226,8,7.057737073048422,0.06554969046465751
center_02_00,center,0,2,124702.55557540804,1348.4757420130118,14694.78477575956,23,10.813537347256561,0.11783868187748225
center_02_01,center,1,2,250000.0,7323.007353543186,42448.8232310328,22,29.29202941417274,0.1697952929241312
center_02_02,center,2,2,250000.0,3717.9371766105055,27958.27827353027,37,14.871748706442022,0.11183311309412108
center_02_03,center,3,2,250000.0,4102.2266957992115,69528.51878255865,29,16.408906783196844,0.27811407513023456
center_02_04,center,4,2,250000.0,5649.207959149966,40196.415249248974,20,22.596831836599865,0.1607856609969959
center_02_05,center,5,2,250000.0,7221.732495149957,11947.888019701748,54,28.886929980599827,0.04779155207880699
center_02_06,center,6,2,250000.0,5691.021096618273,50650.48892080988,249,22.764084386473094,0.20260195568323952
center_02_07,center,7,2,250000.0,8352.418144903884,44857.79581306259,50,33.40967257961554,0.17943118325225038
center_02_08,center,8,2,250000.0,9131.558818985732,54452.91803490578,10,36.52623527594292,0.2178116721396231
center_02_09,center,9,2,250000.0,8668.855486656848,39786.046044523864,86,34.675421946627395,0.15914418417809545
center_02_10,center,10,2,250000.0,5843.335639781998,47598.3988789926,93,23.37334255912799,0.1903935955159704
center_02_11,center,11,2,250000.0,6762.009979440592,101893.34709925423,340,27.04803991776237,0.4075733883970169
center_02_12,center,12,2,250000.0,8298.2502538203,46815.621829574,236,33.193001015281205,0.18726248731829598
center_02_13,center,13,2,250000.0,4748.926860091706,27751.896264384108,69,18.99570744036682,0.11100758505753643
center_02_14,center,14,2,250000.0,4538.741470141205,12694.599915713916,27,18.15496588056482,0.05077839966285566
center_02_15,center,15,2,250000.0,4145.259148127962,14484.428906010007,38,16.58103659251185,0.05793771562404003
center_02_16,center,16,2,250000.0,5494.038825274059,12638.238240774137,190,21.976155301096234,0.050552952963096545
center_02_17,center,17,2,113923.61694620922,1927.9857368431324,3481.210306509216,11,16.92349478118712,0.030557406794351715
center_03_00,center,0,3,124702.55557540804,2232.175958645959,4621.272823679003,13,17.900001714849818,0.03705836502191412
center_03_01,center,1,3,250000.0,11308.11663758778,15750.51738382286,33,45.23246655035112,0.06300206953529144
center_03_02,center,2,3,250000.0,4514.97234765164,32731.35615737557,42,18.05988939060656,0.13092542462950227
center_03_03,center,3,3,250000.0,5712.135069774867,13308.779694103483,12,22.848540279099467,0.05323511877641393
center_03_04,center,4,3,250000.0,6086.942917122351,11555.864510191732,14,24.347771668489404,0.04622345804076693
center_03_05,center,5,3,250000.0,7029.04540143855,60816.78223088938,61,28.1161816057542,0.24326712892355754
center_03_06,center,6,3,250000.0,6001.327776684023,47078.296714399614,95,24.00531110673609,0.18831318685759846
center_03_07,center,7,3,250000.0,7030.086115591755,51106.63630769948,109,28.12034446236702,0.20442654523079792
center_03_08,center,8,3,250000.0,5852.464024083743,79666.6625774903,23,23.409856096334973,0.31866665030996116
center_03_09,center,9,3,250000.0,8534.734263326089,47478.73497950575,220,34.13893705330435,0.18991493991802302
center_03_10,center,10,3,250000.0,7328.611311838588,51087.08693480706,169,29.314445247354353,0.20434834773922825
center_03_11,center,11,3,250000.0,4877.040495529714,77217.65616165714,447,19.508161982118853,0.30887062464662857
center_03_12,center,12,3,250000.0,7602.486997701916,51554.86451711252,266,30.409947990807666,0.20621945806845007
