p,Db,Db_r2,lam4,lam8,lam16,lam32,lam64,zone,rep,row,col
0.14971,1.45158,0.99972,5.06303,3.75656,2.34221,1.5246,1.17531,east,streets,5,0
0.08517,1.31112,0.99965,7.52036,5.00445,3.0926,1.8766,1.31677,east,streets,5,1
0.09674,1.29406,0.99649,6.82873,5.1936,3.55098,2.22753,1.54706,east,streets,5,2
0.13134,1.42522,0.99922,5.82177,4.28844,2.69828,1.72104,1.15869,east,streets,6,0
0.14091,1.39943,0.99654,5.25857,3.75506,2.43941,1.51288,1.1624,east,streets,6,1
0.19488,1.46095,0.99831,4.24024,3.51208,2.67536,1.85373,1.32068,east,streets,6,2
0.12464,1.41124,0.99908,5.57441,3.78894,2.35532,1.57431,1.10639,east,streets,7,0
0.12422,1.36553,0.99917,5.39267,3.84556,2.61568,1.69406,1.22644,east,streets,7,1
0.1657,1.4731,0.99947,4.54003,3.58556,2.65357,1.87336,1.34598,east,streets,7,2
0.14768,1.51893,0.99914,5.43644,4.63453,3.77757,2.72463,1.71736,east,streets,8,0
0.18552,1.54147,0.99982,4.2293,3.5169,2.9034,2.3108,1.73991,east,streets,8,1
0.23525,1.64415,0.99989,3.52206,3.09777,2.63728,1.99499,1.48075,east,streets,8,2
0.14826,1.49255,0.99768,5.24521,4.30058,3.44427,2.64288,1.64292,east,streets,9,0
0.16149,1.52233,0.99775,5.02138,4.15717,3.26754,2.51384,1.74385,east,streets,9,1
0.22941,1.567,0.99961,3.67643,3.22317,2.64709,1.9522,1.3569,east,streets,9,2
0.13368,1.38696,0.9995,5.14249,3.52642,2.19748,1.42857,1.10438,east,streets,10,0
0.19509,1.52148,0.99892,4.1852,3.3901,2.53191,1.79402,1.4224,east,streets,10,1
0.23362,1.54697,0.99847,3.72223,3.22284,2.58034,1.91673,1.27634,east,streets,10,2
0.20168,1.53296,0.99952,3.85089,3.14975,2.45479,1.84116,1.32695,east,streets,11,0
0.25077,1.56355,0.99964,3.24747,2.71902,2.18535,1.62346,1.25365,east,streets,11,1
0.23048,1.5869,0.99956,3.63431,3.15753,2.65489,2.07196,1.49176,east,streets,11,2
0.15621,1.41987,0.9995,4.46875,3.13201,2.09476,1.41109,1.07322,east,streets,12,0
0.15659,1.46068,0.99902,4.23549,3.2408,2.40281,1.67318,1.18342,east,streets,12,1
0.1981,1.55393,0.99954,4.15136,3.62839,3.0659,2.45041,1.75547,east,streets,12,2
0.0871,1.32366,0.99786,5.29571,3.19659,2.11612,1.62504,1.27621,east,streets,13,0
0.09253,1.3299,0.99781,4.92996,2.99547,2.04935,1.53401,1.27842,east,streets,13,1
0.22206,1.54179,0.99986,3.52272,3.04384,2.54153,1.9575,1.37213,east,streets,13,2
0.11675,1.37756,0.99846,3.96536,2.63116,1.85014,1.42344,1.23255,east,streets,14,0
0.07318,1.24722,0.99871,6.31896,3.79695,2.25788,1.4544,1.12922,east,streets,14,1
0.16342,1.47209,0.99872,5.06457,4.32499,3.54501,2.59088,1.73161,east,streets,14,2
0.0396,1.15639,0.99959,10.95079,5.87992,3.10631,1.79991,1.28896,east,streets,15,0
0.04733,1.20842,0.99943,9.38966,5.24414,2.97482,1.75799,1.22635,east,streets,15,1
0.12819,1.47763,0.99778,6.63867,5.87859,4.91055,3.46649,2.01446,east,streets,15,2
0.30648,1.67425,0.99705,2.09428,1.63197,1.30213,1.10319,1.02475,east,footprints,0,0
0.30142,1.66433,0.9964,2.20435,1.69025,1.30871,1.12076,1.04024,east,footprints,0,1
0.30603,1.69059,0.99549,1.99781,1.51269,1.2266,1.08074,1.01631,east,footprints,0,2
0.27726,1.65459,0.99819,2.31443,1.75016,1.36038,1.15173,1.05263,east,footprints,1,0
0.28179,1.63977,0.99682,2.32795,1.74564,1.28628,1.09977,1.03679,east,footprints,1,1
0.2995,1.67065,0.99507,2.08609,1.5778,1.2741,1.12619,1.05219,east,footprints,1,2
0.24808,1.59584,0.99817,2.8014,2.1363,1.6278,1.32547,1.14208,east,footprints,2,0
0.28365,1.63298,0.99469,2.3666,1.75993,1.32211,1.12821,1.0432,east,footprints,2,1
0.23861,1.59439,0.99481,2.55813,1.91185,1.47204,1.18627,1.04998,east,footprints,2,2
0.21744,1.55925,0.99789,3.36116,2.52709,1.78878,1.36046,1.11212,east,footprints,3,0
0.26707,1.62027,0.9918,2.40574,1.74437,1.31697,1.1287,1.03811,east,footprints,3,1
0.2551,1.63157,0.99321,2.28027,1.62968,1.25501,1.0856,1.01747,east,footprints,3,2
0.25166,1.56795,0.99824,2.87265,2.25057,1.72443,1.38172,1.17444,east,footprints,4,0
0.32622,1.66627,0.99731,2.32199,1.89646,1.51212,1.25632,1.10352,east,footprints,4,1
0.28157,1.61807,0.99715,2.65723,2.10359,1.60675,1.25938,1.05192,east,footprints,4,2
0.23331,1.55189,0.99891,3.10634,2.34733,1.64543,1.29286,1.12322,east,footprints,5,0
0.31248,1.6332,0.99722,2.42591,1.93732,1.48061,1.19824,1.07138,east,footprints,5,1
0.31502,1.69574,0.99598,2.02895,1.5691,1.27519,1.12237,1.04896,east,footprints,5,2
0.31472,1.61106,0.99888,2.55961,2.10255,1.63184,1.27162,1.11057,east,footprints,6,0
0.38941,1.67952,0.99877,2.16187,1.83987,1.48023,1.21449,1.06511,east,footprints,6,1
0.31555,1.63209,0.99781,2.51869,2.08599,1.61449,1.26643,1.09661,east,footprints,6,2
0.37358,1.66633,0.99912,2.22582,1.91449,1.56582,1.29262,1.1529,east,footprints,7,0
0.42509,1.69636,0.99912,2.04676,1.77727,1.42916,1.16209,1.05037,east,footprints,7,1
0.27925,1.60184,0.99772,2.65547,2.02183,1.49655,1.24544,1.07732,east,footprints,7,2
0.29088,1.64013,0.99985,2.96369,2.58947,2.15363,1.75978,1.28581,east,footprints,8,0
0.27872,1.64022,0.99931,2.98683,2.49851,1.9979,1.57732,1.30477,east,footprints,8,1
0.18797,1.59155,0.99977,4.30043,3.6294,2.93028,2.23419,1.60952,east,footprints,8,2
0.26288,1.56173,0.99953,3.11793,2.53442,1.8705,1.38907,1.11439,east,footprints,9,0
0.27392,1.57176,0.99883,2.89516,2.30051,1.71001,1.30542,1.08631,east,footprints,9,1
0.18365,1.53139,0.99878,3.82743,2.96259,2.22454,1.67444,1.26367,east,footprints,9,2
0.31296,1.66321,0.99674,2.20267,1.74882,1.37978,1.15823,1.05777,east,footprints,10,0
0.30336,1.57351,0.99906,2.76671,2.30206,1.67586,1.24634,1.06337,east,footprints,10,1
0.34136,1.62302,0.99904,2.55547,2.24175,1.84961,1.45571,1.16515,east,footprints,10,2
0.29166,1.65177,0.99697,2.40232,1.91518,1.48173,1.18488,1.0369,east,footprints,11,0
0.28968,1.59591,0.999,2.75744,2.26648,1.6542,1.26752,1.0676,east,footprints,11,1
0.2143,1.52556,0.999,3.59593,2.82029,1.9742,1.50003,1.29228,east,footprints,11,2
0.27187,1.61783,0.9994,2.97818,2.36088,1.67525,1.30436,1.15076,east,footprints,12,0
0.15875,1.55316,0.99518,3.75437,2.65252,1.94376,1.55979,1.32234,east,footprints,12,1
